id,question1,answer
1,What is the capital of India?,The capital of India is New Delhi.
2,Who is the President of the United States?,The President of the United States is Joe Biden (as of 2024).
3,What is the tallest mountain in the world?,Mount Everest is the tallest mountain in the world.
4,How can I invest in the stock market?,You can invest in the stock market by opening a brokerage account and buying stocks.
5,What is the speed of light?,The speed of light is approximately 299,792,458 meters per second.
6,Who discovered gravity?,Sir Isaac Newton is credited with discovering gravity.
7,What is the currency of Japan?,The currency of Japan is the Japanese Yen (JPY).
8,How does photosynthesis work?,Photosynthesis is the process by which green plants convert sunlight into energy.
9,What is the boiling point of water?,Water boils at 100°C (212°F) at sea level.
10,Who wrote Romeo and Juliet?,William Shakespeare wrote the play Romeo and Juliet.
11,What is the largest ocean on Earth?,The Pacific Ocean is the largest ocean on Earth.
12,Who invented the telephone?,Alexander Graham Bell invented the telephone.
13,What is the square root of 64?,The square root of 64 is 8.
14,How many continents are there?,There are 7 continents on Earth.
15,What is the chemical symbol for gold?,The chemical symbol for gold is Au.
16,Who painted the Mona Lisa?,Leonardo da Vinci painted the Mona Lisa.
17,What is the main ingredient in bread?,Flour is the main ingredient in bread.
18,How many planets are in the solar system?,There are 8 planets in the solar system.
19,What gas do humans breathe in?,Humans primarily breathe in oxygen.
20,What is the freezing point of water?,Water freezes at 0°C (32°F) at sea level.
21,What year did World War II end?,World War II ended in 1945.
22,Who developed the theory of relativity?,Albert Einstein developed the theory of relativity.
23,What is the national animal of India?,The Bengal Tiger is the national animal of India.
24,What is the most spoken language in the world?,The most spoken language in the world is English.
25,What is the tallest building in the world?,The tallest building in the world is the Burj Khalifa in Dubai.
26,What is the largest desert in the world?,The largest desert in the world is the Antarctic Desert.
27,Who was the first person to walk on the moon?,Neil Armstrong was the first person to walk on the moon.
28,How many bones are in the human body?,An adult human body has 206 bones.
29,What is the currency of the United States?,The currency of the United States is the US Dollar (USD).
30,What is the distance from the Earth to the Moon?,The average distance from the Earth to the Moon is 384,400 km.
31,What is the chemical formula for water?,The chemical formula for water is H2O.
32,Who is the founder of Microsoft?,Bill Gates and Paul Allen founded Microsoft.
33,What is the fastest land animal?,The cheetah is the fastest land animal.
34,What is the largest planet in the solar system?,Jupiter is the largest planet in the solar system.
35,What is the smallest country in the world?,The smallest country in the world is Vatican City.
36,What is the most widely used social media platform?,Facebook is the most widely used social media platform.
37,What is the function of the heart?,The heart pumps blood throughout the body.
38,What is the capital of China?,The capital of China is Beijing.
39,Who discovered electricity?,Electricity was studied and developed by Benjamin Franklin, but its discovery is credited to multiple scientists.
40,What is the boiling point of gold?,Gold boils at approximately 2,700°C.
41,What is the world's longest river?,The Nile River is considered the longest river in the world.
42,Who was the first President of the United States?,George Washington was the first President of the United States.
43,What is the process of water turning into vapor?,The process of water turning into vapor is called evaporation.
44,How many letters are there in the English alphabet?,There are 26 letters in the English alphabet.
45,What is the capital of France?,The capital of France is Paris.
46,Who is the CEO of Tesla?,Elon Musk is the CEO of Tesla.
